train,temp_location3,temp_location6,temp_location2,temp_location4,temp_location5,temp_location1,solar_location3,solar_location6,solar_location2,solar_location4,solar_location5,solar_location1,month,week,day,hour,year
train,6.23,13.9,10.34,6.2,13.88,9.85,65.44,66.03,35.94,40.52,65.22,35.23,11,0,4,8,2017
train,6.23,13.9,10.34,6.2,13.88,9.85,65.44,66.03,35.94,40.52,65.22,35.23,11,0,4,8,2017
train,8.46,14.18,11.29,6.7,14.13,11.06,131.19,154.56,88.75,91.09,152.19,93.16,11,0,4,9,2017
train,8.46,14.18,11.29,6.7,14.13,11.06,131.19,154.56,88.75,91.09,152.19,93.16,11,0,4,9,2017
train,9.76,14.45,12.53,7.3,14.32,12.25,199.94,241.5,182.38,135.25,241.38,192.38,11,0,4,10,2017
train,9.76,14.45,12.53,7.3,14.32,12.25,199.94,241.5,182.38,135.25,241.38,192.38,11,0,4,10,2017
train,11.39,14.64,13.47,8.06,14.46,13.19,267.38,295.25,262.5,173.06,307.0,277.0,11,0,4,11,2017
train,11.39,14.64,13.47,8.06,14.46,13.19,267.38,295.25,262.5,173.06,307.0,277.0,11,0,4,11,2017
train,12.84,14.75,14.18,9.33,14.6,14.2,306.88,295.12,283.75,315.88,315.25,304.75,11,0,4,12,2017
train,12.84,14.75,14.18,9.33,14.6,14.2,306.88,295.12,283.75,315.88,315.25,304.75,11,0,4,12,2017
train,13.88,14.77,14.56,12.05,14.63,14.68,291.0,257.25,251.69,301.0,264.0,262.0,11,0,4,13,2017
train,13.88,14.77,14.56,12.05,14.63,14.68,291.0,257.25,251.69,301.0,264.0,262.0,11,0,4,13,2017
train,14.4,14.74,14.58,12.95,14.59,14.74,207.88,188.94,172.38,189.75,202.88,183.06,11,0,4,14,2017
train,14.4,14.74,14.58,12.95,14.59,14.74,207.88,188.94,172.38,189.75,202.88,183.06,11,0,4,14,2017
train,14.15,14.69,14.2,13.0,14.54,14.41,101.91,105.31,95.66,96.75,123.09,107.69,11,0,4,15,2017
train,14.15,14.69,14.2,13.0,14.54,14.41,101.91,105.31,95.66,96.75,123.09,107.69,11,0,4,15,2017
train,13.06,14.54,13.42,12.06,14.36,13.63,24.93,27.67,27.73,21.12,36.89,32.56,11,0,4,16,2017
train,13.06,14.54,13.42,12.06,14.36,13.63,24.93,27.67,27.73,21.12,36.89,32.56,11,0,4,16,2017
train,11.06,14.32,11.91,10.2,14.11,12.11,0.0,0.0,0.0,0.0,0.04,0.01,11,0,4,17,2017
train,11.06,14.32,11.91,10.2,14.11,12.11,0.0,0.0,0.0,0.0,0.04,0.01,11,0,4,17,2017
train,10.38,14.24,11.4,8.92,13.95,11.45,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,18,2017
train,10.38,14.24,11.4,8.92,13.95,11.45,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,18,2017
train,10.02,14.29,11.38,8.33,13.94,11.28,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,19,2017
train,10.02,14.29,11.38,8.33,13.94,11.28,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,19,2017
train,10.13,14.31,11.98,8.41,13.97,11.35,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,20,2017
train,10.13,14.31,11.98,8.41,13.97,11.35,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,20,2017
train,10.44,14.3,12.39,8.74,13.94,11.81,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,21,2017
train,10.44,14.3,12.39,8.74,13.94,11.81,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,21,2017
train,10.53,14.31,12.25,8.98,13.94,11.71,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,22,2017
train,10.53,14.31,12.25,8.98,13.94,11.71,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,22,2017
train,10.59,14.26,12.2,9.25,13.89,11.67,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,23,2017
train,10.59,14.26,12.2,9.25,13.89,11.67,0.0,0.0,0.0,0.0,0.0,0.0,11,0,4,23,2017
train,10.79,14.24,12.26,9.82,13.85,11.83,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,0,2017
train,10.79,14.24,12.26,9.82,13.85,11.83,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,0,2017
train,10.88,14.17,12.16,10.31,13.78,11.72,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,1,2017
train,10.88,14.17,12.16,10.31,13.78,11.72,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,1,2017
train,10.82,14.05,12.08,10.81,13.76,11.55,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,2,2017
train,10.82,14.05,12.08,10.81,13.76,11.55,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,2,2017
train,10.88,14.01,11.98,11.0,13.77,11.68,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,3,2017
train,10.88,14.01,11.98,11.0,13.77,11.68,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,3,2017
train,11.41,14.1,12.24,11.08,13.83,12.21,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,4,2017
train,11.41,14.1,12.24,11.08,13.83,12.21,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,4,2017
train,11.78,14.13,12.41,11.05,13.61,11.91,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,5,2017
train,11.78,14.13,12.41,11.05,13.61,11.91,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,5,2017
train,11.3,13.81,11.94,11.19,13.24,11.46,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,6,2017
train,11.3,13.81,11.94,11.19,13.24,11.46,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,6,2017
train,10.37,13.23,11.17,11.31,12.94,10.79,3.19,5.67,5.12,0.88,5.88,4.46,11,0,5,7,2017
train,10.37,13.23,11.17,11.31,12.94,10.79,3.19,5.67,5.12,0.88,5.88,4.46,11,0,5,7,2017
train,9.64,12.86,10.5,10.73,12.71,10.28,54.89,79.38,74.09,22.89,74.88,64.75,11,0,5,8,2017
train,9.64,12.86,10.5,10.73,12.71,10.28,54.89,79.38,74.09,22.89,74.88,64.75,11,0,5,8,2017
train,9.48,12.78,10.51,9.84,12.51,10.29,128.62,177.25,170.69,127.22,167.44,152.56,11,0,5,9,2017
train,9.48,12.78,10.51,9.84,12.51,10.29,128.62,177.25,170.69,127.22,167.44,152.56,11,0,5,9,2017
train,9.64,12.63,10.73,9.98,12.25,10.42,181.62,234.88,219.06,208.5,201.44,191.12,11,0,5,10,2017
train,9.64,12.63,10.73,9.98,12.25,10.42,181.62,234.88,219.06,208.5,201.44,191.12,11,0,5,10,2017
train,9.74,12.42,10.73,10.46,12.18,10.32,223.62,224.38,211.0,243.69,195.5,190.12,11,0,5,11,2017
train,9.74,12.42,10.73,10.46,12.18,10.32,223.62,224.38,211.0,243.69,195.5,190.12,11,0,5,11,2017
train,10.01,12.22,10.67,10.83,12.05,10.4,249.88,196.12,213.81,240.62,204.0,260.12,11,0,5,12,2017
train,10.01,12.22,10.67,10.83,12.05,10.4,249.88,196.12,213.81,240.62,204.0,260.12,11,0,5,12,2017
train,10.29,12.1,10.84,10.95,12.22,10.82,263.88,172.19,217.75,204.81,241.88,284.25,11,0,5,13,2017
train,10.29,12.1,10.84,10.95,12.22,10.82,263.88,172.19,217.75,204.81,241.88,284.25,11,0,5,13,2017
train,10.29,12.32,10.94,10.8,12.5,10.84,193.56,168.69,191.06,159.69,221.75,193.81,11,0,5,14,2017
train,10.29,12.32,10.94,10.8,12.5,10.84,193.56,168.69,191.06,159.69,221.75,193.81,11,0,5,14,2017
train,9.86,12.38,10.66,10.47,12.42,10.3,111.97,113.81,124.0,90.38,137.0,136.06,11,0,5,15,2017
train,9.86,12.38,10.66,10.47,12.42,10.3,111.97,113.81,124.0,90.38,137.0,136.06,11,0,5,15,2017
train,9.23,12.19,10.0,9.55,12.08,9.81,25.61,31.91,31.58,17.23,43.0,40.3,11,0,5,16,2017
train,9.23,12.19,10.0,9.55,12.08,9.81,25.61,31.91,31.58,17.23,43.0,40.3,11,0,5,16,2017
train,8.2,11.88,9.02,7.88,11.86,8.96,0.0,0.0,0.0,0.0,0.01,0.0,11,0,5,17,2017
train,8.2,11.88,9.02,7.88,11.86,8.96,0.0,0.0,0.0,0.0,0.01,0.0,11,0,5,17,2017
train,7.63,11.63,8.48,6.99,11.68,8.55,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,18,2017
train,7.63,11.63,8.48,6.99,11.68,8.55,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,18,2017
train,7.64,11.58,8.25,6.21,11.69,8.54,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,19,2017
train,7.64,11.58,8.25,6.21,11.69,8.54,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,19,2017
train,7.78,11.67,8.32,5.91,11.98,8.98,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,20,2017
train,7.78,11.67,8.32,5.91,11.98,8.98,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,20,2017
train,7.82,11.81,8.32,6.02,11.93,8.75,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,21,2017
train,7.82,11.81,8.32,6.02,11.93,8.75,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,21,2017
train,7.85,11.41,8.2,6.19,11.27,8.47,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,22,2017
train,7.85,11.41,8.2,6.19,11.27,8.47,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,22,2017
train,7.53,10.98,8.27,6.42,11.02,8.37,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,23,2017
train,7.53,10.98,8.27,6.42,11.02,8.37,0.0,0.0,0.0,0.0,0.0,0.0,11,0,5,23,2017
train,7.03,10.83,8.01,6.15,10.98,7.98,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,0,2017
train,7.03,10.83,8.01,6.15,10.98,7.98,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,0,2017
train,6.59,10.77,7.72,5.77,10.97,7.88,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,1,2017
train,6.59,10.77,7.72,5.77,10.97,7.88,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,1,2017
train,6.14,10.67,7.38,5.43,10.93,7.59,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,2,2017
train,6.14,10.67,7.38,5.43,10.93,7.59,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,2,2017
train,6.01,10.61,7.21,5.13,10.91,7.55,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,3,2017
train,6.01,10.61,7.21,5.13,10.91,7.55,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,3,2017
train,6.05,10.7,7.2,4.8,10.94,7.63,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,4,2017
train,6.05,10.7,7.2,4.8,10.94,7.63,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,4,2017
train,6.1,10.76,7.27,4.53,10.87,7.63,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,5,2017
train,6.1,10.76,7.27,4.53,10.87,7.63,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,5,2017
train,6.31,10.67,7.28,4.44,10.83,7.67,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,6,2017
train,6.31,10.67,7.28,4.44,10.83,7.67,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,6,2017
train,6.62,10.67,7.37,4.54,10.87,7.82,3.15,4.44,4.05,4.59,3.61,2.8,11,0,6,7,2017
train,6.62,10.67,7.37,4.54,10.87,7.82,3.15,4.44,4.05,4.59,3.61,2.8,11,0,6,7,2017
train,7.02,10.8,7.65,5.11,10.96,8.19,41.03,69.56,61.28,55.77,68.09,47.89,11,0,6,8,2017
train,7.02,10.8,7.65,5.11,10.96,8.19,41.03,69.56,61.28,55.77,68.09,47.89,11,0,6,8,2017
train,7.71,11.08,8.42,6.37,11.13,8.75,110.44,154.81,133.44,144.12,151.94,108.25,11,0,6,9,2017
train,7.71,11.08,8.42,6.37,11.13,8.75,110.44,154.81,133.44,144.12,151.94,108.25,11,0,6,9,2017
train,8.12,11.36,9.0,7.47,11.37,9.1,193.69,204.88,197.5,234.38,206.62,195.06,11,0,6,10,2017
train,8.12,11.36,9.0,7.47,11.37,9.1,193.69,204.88,197.5,234.38,206.62,195.06,11,0,6,10,2017
train,8.42,11.46,9.28,8.32,11.5,9.42,236.94,235.75,243.12,279.75,249.56,246.94,11,0,6,11,2017
train,8.42,11.46,9.28,8.32,11.5,9.42,236.94,235.75,243.12,279.75,249.56,246.94,11,0,6,11,2017
train,8.73,11.46,9.48,8.92,11.52,9.57,236.62,255.5,244.06,278.38,267.12,257.75,11,0,6,12,2017
train,8.73,11.46,9.48,8.92,11.52,9.57,236.62,255.5,244.06,278.38,267.12,257.75,11,0,6,12,2017
train,8.9,11.41,9.61,9.27,11.54,9.67,221.75,225.19,229.25,234.12,254.31,242.0,11,0,6,13,2017
train,8.9,11.41,9.61,9.27,11.54,9.67,221.75,225.19,229.25,234.12,254.31,242.0,11,0,6,13,2017
train,8.97,11.41,9.73,9.34,11.55,9.67,185.25,199.5,192.31,179.25,215.81,187.5,11,0,6,14,2017
train,8.97,11.41,9.73,9.34,11.55,9.67,185.25,199.5,192.31,179.25,215.81,187.5,11,0,6,14,2017
train,8.91,11.44,9.67,9.17,11.56,9.54,113.5,126.03,116.69,100.59,140.06,108.34,11,0,6,15,2017
train,8.91,11.44,9.67,9.17,11.56,9.54,113.5,126.03,116.69,100.59,140.06,108.34,11,0,6,15,2017
train,8.52,11.4,9.32,8.47,11.51,9.24,28.24,34.19,30.52,19.75,40.78,31.46,11,0,6,16,2017
train,8.52,11.4,9.32,8.47,11.51,9.24,28.24,34.19,30.52,19.75,40.78,31.46,11,0,6,16,2017
train,7.58,11.31,8.55,6.82,11.47,8.73,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,17,2017
train,7.58,11.31,8.55,6.82,11.47,8.73,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,17,2017
train,7.11,11.24,8.11,6.07,11.54,8.49,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,18,2017
train,7.11,11.24,8.11,6.07,11.54,8.49,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,18,2017
train,6.79,11.21,7.87,5.34,11.6,8.39,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,19,2017
train,6.79,11.21,7.87,5.34,11.6,8.39,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,19,2017
train,6.5,11.19,7.66,4.8,11.59,8.31,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,20,2017
train,6.5,11.19,7.66,4.8,11.59,8.31,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,20,2017
train,6.1,11.19,7.37,4.34,11.56,8.13,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,21,2017
train,6.1,11.19,7.37,4.34,11.56,8.13,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,21,2017
train,5.68,11.06,7.03,3.93,11.42,7.84,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,22,2017
train,5.68,11.06,7.03,3.93,11.42,7.84,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,22,2017
train,5.29,10.91,6.68,3.67,11.27,7.62,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,23,2017
train,5.29,10.91,6.68,3.67,11.27,7.62,0.0,0.0,0.0,0.0,0.0,0.0,11,0,6,23,2017
train,5.14,10.76,6.35,3.58,11.12,7.39,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,0,2017
train,5.14,10.76,6.35,3.58,11.12,7.39,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,0,2017
train,4.96,10.64,6.14,3.58,11.0,7.26,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,1,2017
train,4.96,10.64,6.14,3.58,11.0,7.26,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,1,2017
train,5.1,10.56,6.03,3.56,10.93,7.25,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,2,2017
train,5.1,10.56,6.03,3.56,10.93,7.25,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,2,2017
train,5.27,10.51,6.29,3.6,10.87,7.26,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,3,2017
train,5.27,10.51,6.29,3.6,10.87,7.26,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,3,2017
train,5.87,10.52,6.64,3.87,10.86,7.17,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,4,2017
train,5.87,10.52,6.64,3.87,10.86,7.17,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,4,2017
train,5.78,10.59,6.49,4.04,10.93,6.97,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,5,2017
train,5.78,10.59,6.49,4.04,10.93,6.97,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,5,2017
train,5.82,10.7,6.63,4.24,11.0,7.02,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,6,2017
train,5.82,10.7,6.63,4.24,11.0,7.02,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,6,2017
train,5.85,10.84,6.77,4.35,11.08,7.04,4.23,6.33,5.47,5.57,4.9,4.15,11,0,0,7,2017
train,5.85,10.84,6.77,4.35,11.08,7.04,4.23,6.33,5.47,5.57,4.9,4.15,11,0,0,7,2017
train,5.68,10.95,6.68,4.31,11.2,6.92,80.03,95.12,91.56,84.59,89.06,82.34,11,0,0,8,2017
train,5.68,10.95,6.68,4.31,11.2,6.92,80.03,95.12,91.56,84.59,89.06,82.34,11,0,0,8,2017
train,7.14,11.36,7.85,5.66,11.51,8.28,181.31,215.44,205.19,195.56,208.75,174.38,11,0,0,9,2017
train,7.14,11.36,7.85,5.66,11.51,8.28,181.31,215.44,205.19,195.56,208.75,174.38,11,0,0,9,2017
train,9.1,11.8,9.63,8.0,12.0,10.05,246.88,305.5,282.25,301.25,276.0,205.25,11,0,0,10,2017
train,9.1,11.8,9.63,8.0,12.0,10.05,246.88,305.5,282.25,301.25,276.0,205.25,11,0,0,10,2017
train,10.12,12.13,10.75,9.73,12.18,10.5,273.75,349.75,314.88,352.88,289.0,219.75,11,0,0,11,2017
train,10.12,12.13,10.75,9.73,12.18,10.5,273.75,349.75,314.88,352.88,289.0,219.75,11,0,0,11,2017
train,10.56,12.27,11.19,10.74,12.26,10.76,214.62,329.5,302.12,353.5,308.5,236.31,11,0,0,12,2017
train,10.56,12.27,11.19,10.74,12.26,10.76,214.62,329.5,302.12,353.5,308.5,236.31,11,0,0,12,2017
train,10.54,12.34,11.37,11.2,12.31,11.04,164.88,271.88,230.69,280.62,225.44,158.75,11,0,0,13,2017
train,10.54,12.34,11.37,11.2,12.31,11.04,164.88,271.88,230.69,280.62,225.44,158.75,11,0,0,13,2017
train,10.45,12.32,11.26,11.16,12.33,11.05,114.53,179.94,129.19,162.44,160.5,100.09,11,0,0,14,2017
train,10.45,12.32,11.26,11.16,12.33,11.05,114.53,179.94,129.19,162.44,160.5,100.09,11,0,0,14,2017
train,10.27,12.17,10.89,10.58,12.33,10.95,70.72,103.84,79.31,69.5,141.75,85.53,11,0,0,15,2017
train,10.27,12.17,10.89,10.58,12.33,10.95,70.72,103.84,79.31,69.5,141.75,85.53,11,0,0,15,2017
train,9.85,12.08,10.48,9.1,12.41,10.82,19.02,29.34,24.36,13.58,27.89,24.11,11,0,0,16,2017
train,9.85,12.08,10.48,9.1,12.41,10.82,19.02,29.34,24.36,13.58,27.89,24.11,11,0,0,16,2017
train,8.9,11.88,9.47,7.52,12.27,10.33,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,17,2017
train,8.9,11.88,9.47,7.52,12.27,10.33,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,17,2017
train,8.77,11.89,9.33,7.47,12.48,10.41,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,18,2017
train,8.77,11.89,9.33,7.47,12.48,10.41,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,18,2017
train,8.92,12.02,9.6,7.29,12.63,10.61,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,19,2017
train,8.92,12.02,9.6,7.29,12.63,10.61,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,19,2017
train,9.17,12.14,10.1,7.03,12.81,10.61,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,20,2017
train,9.17,12.14,10.1,7.03,12.81,10.61,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,20,2017
train,9.29,12.33,10.41,7.01,13.09,10.67,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,21,2017
train,9.29,12.33,10.41,7.01,13.09,10.67,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,21,2017
train,9.42,12.57,10.65,7.42,13.19,10.88,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,22,2017
train,9.42,12.57,10.65,7.42,13.19,10.88,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,22,2017
train,9.77,12.71,10.8,7.75,13.22,10.95,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,23,2017
train,9.77,12.71,10.8,7.75,13.22,10.95,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,23,2017
train,9.96,12.84,10.95,7.68,13.27,11.09,0.0,0.0,0.0,0.0,0.0,0.0,11,1,1,0,2017
train,9.96,12.84,10.95,7.68,13.27,11.09,0.0,0.0,0.0,0.0,0.0,0.0,11,1,1,0,2017
train,10.18,13.04,11.2,8.18,13.24,11.29,0.0,0.0,0.0,0.0,0.0,0.0,11,1,1,1,2017
train,10.18,13.04,11.2,8.18,13.24,11.29,0.0,0.0,0.0,0.0,0.0,0.0,11,1,1,1,2017
train,10.27,13.07,11.31,8.9,13.2,11.17,0.0,0.0,0.0,0.0,0.0,0.0,11,1,1,2,2017
train,10.27,13.07,11.31,8.9,13.2,11.17,0.0,0.0,0.0,0.0,0.0,0.0,11,1,1,2,2017
train,10.19,13.01,11.24,9.33,13.18,11.14,0.0,0.0,0.0,0.0,0.0,0.0,11,1,1,3,2017
train,10.19,13.01,11.24,9.33,13.18,11.14,0.0,0.0,0.0,0.0,0.0,0.0,11,1,1,3,2017
train,10.14,13.12,11.2,9.54,13.27,11.33,0.0,0.0,0.0,0.0,0.0,0.0,11,1,1,4,2017
train,10.14,13.12,11.2,9.54,13.27,11.33,0.0,0.0,0.0,0.0,0.0,0.0,11,1,1,4,2017
train,10.26,13.26,11.34,9.46,13.36,11.51,0.0,0.0,0.0,0.0,0.0,0.0,11,1,1,5,2017
train,10.26,13.26,11.34,9.46,13.36,11.51,0.0,0.0,0.0,0.0,0.0,0.0,11,1,1,5,2017
train,10.43,13.26,11.41,9.34,13.35,11.6,0.0,0.0,0.0,0.0,0.0,0.0,11,1,1,6,2017
train,10.43,13.26,11.41,9.34,13.35,11.6,0.0,0.0,0.0,0.0,0.0,0.0,11,1,1,6,2017
train,10.51,13.03,11.38,9.38,13.35,11.53,2.23,4.67,2.98,3.65,2.71,1.88,11,1,1,7,2017
train,10.51,13.03,11.38,9.38,13.35,11.53,2.23,4.67,2.98,3.65,2.71,1.88,11,1,1,7,2017
train,10.7,13.06,11.39,9.55,13.37,11.58,42.36,66.06,54.02,58.03,18.54,30.02,11,1,1,8,2017
train,10.7,13.06,11.39,9.55,13.37,11.58,42.36,66.06,54.02,58.03,18.54,30.02,11,1,1,8,2017
train,11.01,13.11,11.74,10.18,13.26,11.38,86.09,78.5,86.06,115.44,26.79,55.23,11,1,1,9,2017
train,11.01,13.11,11.74,10.18,13.26,11.38,86.09,78.5,86.06,115.44,26.79,55.23,11,1,1,9,2017
train,10.72,13.09,11.69,10.96,12.4,10.22,88.25,63.91,88.47,177.19,53.47,69.47,11,1,1,10,2017
train,10.72,13.09,11.69,10.96,12.4,10.22,88.25,63.91,88.47,177.19,53.47,69.47,11,1,1,10,2017
train,9.73,12.78,10.91,11.78,11.0,8.74,124.25,69.75,102.12,212.31,136.56,126.22,11,1,1,11,2017
train,9.73,12.78,10.91,11.78,11.0,8.74,124.25,69.75,102.12,212.31,136.56,126.22,11,1,1,11,2017
train,8.61,11.74,9.68,12.01,10.79,8.69,119.34,103.0,119.5,133.06,207.0,190.94,11,1,1,12,2017
train,8.61,11.74,9.68,12.01,10.79,8.69,119.34,103.0,119.5,133.06,207.0,190.94,11,1,1,12,2017
train,8.06,10.81,8.72,11.17,11.16,9.04,111.75,140.06,134.5,96.22,349.12,268.88,11,1,1,13,2017
train,8.06,10.81,8.72,11.17,11.16,9.04,111.75,140.06,134.5,96.22,349.12,268.88,11,1,1,13,2017
train,8.28,10.94,8.95,9.84,11.54,9.63,143.81,195.88,138.94,72.84,271.12,249.31,11,1,1,14,2017
train,8.28,10.94,8.95,9.84,11.54,9.63,143.81,195.88,138.94,72.84,271.12,249.31,11,1,1,14,2017
train,8.54,11.22,9.21,8.59,11.61,9.74,93.59,154.62,144.06,30.92,141.12,124.81,11,1,1,15,2017
train,8.54,11.22,9.21,8.59,11.61,9.74,93.59,154.62,144.06,30.92,141.12,124.81,11,1,1,15,2017
train,8.32,11.29,9.18,7.46,11.45,9.19,28.18,33.61,30.04,5.02,28.44,27.17,11,1,1,16,2017
train,8.32,11.29,9.18,7.46,11.45,9.19,28.18,33.61,30.04,5.02,28.44,27.17,11,1,1,16,2017
