train,datetime,irradiance_Wm-2,pv_power_mw,panel_temp_C,4window,48window,last_hour,last_day,last_hour_mean,last_day_mean
train,11/3/2017 10:00,190.7,0.79,14.28,0.5775,,0.35,1.0,0.47750000000000004,1.0
train,11/3/2017 10:30,180.29,0.76,17.53,0.5750000000000001,,0.4,1.0,0.525,1.0
train,11/3/2017 11:00,146.27,0.62,16.2,0.6425000000000001,,0.79,1.0,0.5775,1.0
train,11/3/2017 11:30,288.92,1.19,16.43,0.8400000000000001,,0.76,1.0,0.5750000000000001,1.0
train,11/3/2017 12:00,466.2,2.0,23.37,1.1425,,0.62,1.0,0.6425000000000001,1.0
train,11/3/2017 12:30,338.5,1.38,19.41,1.2975,,1.19,1.0,0.8400000000000001,1.0
train,11/3/2017 13:00,308.66,1.35,18.71,1.4800000000000002,,2.0,1.0,1.1425,1.0
train,11/3/2017 13:30,509.04,2.11,22.6,1.7100000000000004,,1.38,1.0,1.2975,1.0
train,11/3/2017 14:00,443.73,1.81,24.31,1.6625000000000005,,1.35,1.0,1.4800000000000002,1.0
train,11/3/2017 14:30,349.08,1.39,21.99,1.6650000000000007,,2.11,1.0,1.7100000000000004,1.0
train,11/3/2017 15:00,272.7,1.02,20.54,1.582500000000001,,1.81,1.0,1.6625000000000005,1.0
train,11/3/2017 15:30,145.59,0.52,16.49,1.185000000000001,,1.39,1.0,1.6650000000000007,1.0
train,11/3/2017 16:00,61.73,0.2,13.63,0.782500000000001,,1.02,1.0,1.582500000000001,1.0
train,11/3/2017 16:30,6.42,0.02,10.99,0.440000000000001,,0.52,1.0,1.185000000000001,1.0
train,11/3/2017 17:00,0.0,0.0,10.27,0.185000000000001,,0.2,1.0,0.782500000000001,1.0
train,11/3/2017 17:30,0.0,0.0,10.37,0.05500000000000099,,0.02,1.0,0.440000000000001,1.0
train,11/3/2017 18:00,0.0,0.0,9.73,0.00500000000000099,,0.0,1.0,0.185000000000001,1.0
train,11/3/2017 18:30,0.0,0.0,9.97,9.896597430447684e-16,,0.0,1.0,0.05500000000000099,1.0
train,11/3/2017 19:00,0.0,0.0,10.01,9.896597430447684e-16,,0.0,1.0,0.00500000000000099,1.0
train,11/3/2017 19:30,0.0,0.0,10.39,9.896597430447684e-16,,0.0,1.0,9.896597430447684e-16,1.0
train,11/3/2017 20:00,0.0,0.0,10.58,9.896597430447684e-16,,0.0,1.0,9.896597430447684e-16,1.0
train,11/3/2017 20:30,0.0,0.0,10.85,9.896597430447684e-16,,0.0,1.0,9.896597430447684e-16,1.0
train,11/3/2017 21:00,0.0,0.0,11.15,9.896597430447684e-16,,0.0,1.0,9.896597430447684e-16,1.0
train,11/3/2017 21:30,0.0,0.0,11.54,9.896597430447684e-16,,0.0,1.0,9.896597430447684e-16,1.0
train,11/3/2017 22:00,0.0,0.0,11.48,9.896597430447684e-16,,0.0,1.0,9.896597430447684e-16,1.0
train,11/3/2017 22:30,0.0,0.0,12.15,9.896597430447684e-16,,0.0,1.0,9.896597430447684e-16,1.0
train,11/3/2017 23:00,0.0,0.0,12.47,9.896597430447684e-16,,0.0,1.0,9.896597430447684e-16,1.0
train,11/3/2017 23:30,0.0,0.0,12.54,9.896597430447684e-16,0.36437499999999995,0.0,1.0,9.896597430447684e-16,1.0
train,11/4/2017 0:00,0.0,0.0,12.59,9.896597430447684e-16,0.36437499999999995,0.0,0.0,9.896597430447684e-16,
train,11/4/2017 0:30,0.0,0.0,12.52,9.896597430447684e-16,0.36437499999999995,0.0,0.0,9.896597430447684e-16,
train,11/4/2017 1:00,0.0,0.0,12.5,9.896597430447684e-16,0.36437499999999995,0.0,0.0,9.896597430447684e-16,
train,11/4/2017 1:30,0.0,0.0,12.43,9.896597430447684e-16,0.36437499999999995,0.0,0.0,9.896597430447684e-16,
train,11/4/2017 2:00,0.0,0.0,12.17,9.896597430447684e-16,0.36437499999999995,0.0,0.0,9.896597430447684e-16,
train,11/4/2017 2:30,0.0,0.0,12.1,9.896597430447684e-16,0.36437499999999995,0.0,0.0,9.896597430447684e-16,
train,11/4/2017 3:00,0.0,0.0,11.22,9.896597430447684e-16,0.36437499999999995,0.0,0.0,9.896597430447684e-16,
train,11/4/2017 3:30,0.0,0.0,10.79,9.896597430447684e-16,0.36437499999999995,0.0,0.0,9.896597430447684e-16,
train,11/4/2017 4:00,0.0,0.0,10.57,9.896597430447684e-16,0.36437499999999995,0.0,0.0,9.896597430447684e-16,
train,11/4/2017 4:30,0.0,0.0,10.6,9.896597430447684e-16,0.36437499999999995,0.0,0.0,9.896597430447684e-16,
train,11/4/2017 5:00,0.0,0.0,10.75,9.896597430447684e-16,0.36437499999999995,0.0,0.0,9.896597430447684e-16,
train,11/4/2017 5:30,0.0,0.0,10.62,9.896597430447684e-16,0.36437499999999995,0.0,0.0,9.896597430447684e-16,
train,11/4/2017 6:00,0.0,0.0,9.68,9.896597430447684e-16,0.36437499999999995,0.0,0.0,9.896597430447684e-16,
train,11/4/2017 6:30,0.0,0.0,9.72,9.896597430447684e-16,0.36437499999999995,0.0,0.0,9.896597430447684e-16,
train,11/4/2017 7:00,0.72,0.0,9.9,9.896597430447684e-16,0.36395833333333333,0.0,0.02,9.896597430447684e-16,
train,11/4/2017 7:30,5.55,0.01,9.49,0.0025000000000009897,0.3597916666666667,0.0,0.21,9.896597430447684e-16,
train,11/4/2017 8:00,25.39,0.1,9.61,0.027500000000000992,0.3497916666666667,0.0,0.58,9.896597430447684e-16,
train,11/4/2017 8:30,62.5,0.26,10.62,0.092500000000001,0.3391666666666668,0.01,0.77,0.0025000000000009897,
train,11/4/2017 9:00,136.6,0.55,11.87,0.230000000000001,0.34333333333333343,0.1,0.35,0.027500000000000992,
train,11/4/2017 9:30,256.72,1.04,13.31,0.487500000000001,0.35666666666666674,0.26,0.4,0.092500000000001,
train,11/4/2017 10:00,286.97,1.13,15.53,0.7450000000000009,0.3637500000000001,0.55,0.79,0.230000000000001,
train,11/4/2017 10:30,135.61,0.6,12.17,0.830000000000001,0.3604166666666668,1.04,0.76,0.487500000000001,
train,11/4/2017 11:00,202.1,0.89,12.9,0.9150000000000009,0.36604166666666677,1.13,0.62,0.7450000000000009,
train,11/4/2017 11:30,330.84,1.33,14.49,0.9875000000000009,0.36895833333333344,0.6,1.19,0.830000000000001,
train,11/4/2017 12:00,591.68,2.37,16.6,1.297500000000001,0.37666666666666676,0.89,2.0,0.9150000000000009,
train,11/4/2017 12:30,719.27,2.97,18.97,1.890000000000001,0.4097916666666668,1.33,1.38,0.9875000000000009,
train,11/4/2017 13:00,440.97,1.88,16.17,2.137500000000001,0.4208333333333334,2.37,1.35,1.297500000000001,
train,11/4/2017 13:30,273.11,1.12,13.56,2.0850000000000013,0.40020833333333344,2.97,2.11,1.890000000000001,
train,11/4/2017 14:00,440.3,1.82,14.5,1.9475000000000013,0.4004166666666668,1.88,1.81,2.137500000000001,
train,11/4/2017 14:30,275.57,1.09,15.38,1.4775000000000014,0.3941666666666668,1.12,1.39,2.0850000000000013,
train,11/4/2017 15:00,168.62,0.66,13.15,1.1725000000000014,0.38666666666666677,1.82,1.02,1.9475000000000013,
train,11/4/2017 15:30,246.5,0.83,12.02,1.1000000000000014,0.3931250000000001,1.09,0.52,1.4775000000000014,
train,11/4/2017 16:00,94.52,0.23,10.87,0.7025000000000015,0.3937500000000001,0.66,0.2,1.1725000000000014,
train,11/4/2017 16:30,8.33,0.02,7.57,0.43500000000000144,0.3937500000000001,0.83,0.02,1.1000000000000014,
train,11/4/2017 17:00,0.0,0.0,6.48,0.27000000000000146,0.3937500000000001,0.23,0.0,0.7025000000000015,
train,11/4/2017 17:30,0.0,0.0,6.17,0.06250000000000147,0.3937500000000001,0.02,0.0,0.43500000000000144,
train,11/4/2017 18:00,0.0,0.0,4.53,0.0050000000000014685,0.3937500000000001,0.0,0.0,0.27000000000000146,
train,11/4/2017 18:30,0.0,0.0,4.14,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,0.06250000000000147,
train,11/4/2017 19:00,0.0,0.0,5.02,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,0.0050000000000014685,
train,11/4/2017 19:30,0.0,0.0,5.49,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,1.4684434224143672e-15,
train,11/4/2017 20:00,0.0,0.0,4.22,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,1.4684434224143672e-15,
train,11/4/2017 20:30,0.0,0.0,5.05,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,1.4684434224143672e-15,
train,11/4/2017 21:00,0.0,0.0,4.47,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,1.4684434224143672e-15,
train,11/4/2017 21:30,0.0,0.0,3.91,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,1.4684434224143672e-15,
train,11/4/2017 22:00,0.0,0.0,4.64,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,1.4684434224143672e-15,
train,11/4/2017 22:30,0.0,0.0,3.89,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,1.4684434224143672e-15,
train,11/4/2017 23:00,0.0,0.0,3.85,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,1.4684434224143672e-15,
train,11/4/2017 23:30,0.0,0.0,3.87,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,1.4684434224143672e-15,0.36437499999999995
train,11/5/2017 0:00,0.0,0.0,4.19,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,1.4684434224143672e-15,0.36437499999999995
train,11/5/2017 0:30,0.0,0.0,5.04,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,1.4684434224143672e-15,0.36437499999999995
train,11/5/2017 1:00,0.0,0.0,3.77,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,1.4684434224143672e-15,0.36437499999999995
train,11/5/2017 1:30,0.0,0.0,3.06,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,1.4684434224143672e-15,0.36437499999999995
train,11/5/2017 2:00,0.0,0.0,4.41,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,1.4684434224143672e-15,0.36437499999999995
train,11/5/2017 2:30,0.0,0.0,3.15,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,1.4684434224143672e-15,0.36437499999999995
train,11/5/2017 3:00,0.0,0.0,4.56,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,1.4684434224143672e-15,0.36437499999999995
train,11/5/2017 3:30,0.0,0.0,4.08,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,1.4684434224143672e-15,0.36437499999999995
train,11/5/2017 4:00,0.0,0.0,3.51,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,1.4684434224143672e-15,0.36437499999999995
train,11/5/2017 4:30,0.0,0.0,3.04,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,1.4684434224143672e-15,0.36437499999999995
train,11/5/2017 5:00,0.0,0.0,3.46,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,1.4684434224143672e-15,0.36437499999999995
train,11/5/2017 5:30,0.0,0.0,4.43,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,1.4684434224143672e-15,0.36437499999999995
train,11/5/2017 6:00,0.0,0.0,2.46,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,1.4684434224143672e-15,0.36437499999999995
train,11/5/2017 6:30,0.0,0.0,4.24,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,1.4684434224143672e-15,0.36437499999999995
train,11/5/2017 7:00,0.1,0.0,4.36,1.4684434224143672e-15,0.3937500000000001,0.0,0.0,1.4684434224143672e-15,0.36395833333333333
train,11/5/2017 7:30,1.18,0.0,4.83,1.4684434224143672e-15,0.39354166666666673,0.0,0.01,1.4684434224143672e-15,0.3597916666666667
train,11/5/2017 8:00,32.75,0.13,4.68,0.03250000000000147,0.3941666666666667,0.0,0.1,1.4684434224143672e-15,0.3497916666666667
train,11/5/2017 8:30,136.8,0.41,5.8,0.13500000000000145,0.39729166666666665,0.0,0.26,1.4684434224143672e-15,0.3391666666666668
train,11/5/2017 9:00,380.33,1.23,8.38,0.44250000000000145,0.4114583333333333,0.13,0.55,0.03250000000000147,0.34333333333333343
train,11/5/2017 9:30,448.68,1.64,13.62,0.8525000000000014,0.4239583333333334,0.41,1.04,0.13500000000000145,0.35666666666666674
train,11/5/2017 10:00,567.92,2.14,14.31,1.3550000000000015,0.44500000000000006,1.23,1.13,0.44250000000000145,0.3637500000000001
train,11/5/2017 10:30,630.48,2.44,15.66,1.8625000000000016,0.4833333333333334,1.64,0.6,0.8525000000000014,0.3604166666666668
train,11/5/2017 11:00,540.83,2.14,16.47,2.0900000000000016,0.509375,2.14,0.89,1.3550000000000015,0.36604166666666677
train,11/5/2017 11:30,642.78,2.65,18.71,2.3425000000000016,0.5368750000000001,2.44,1.33,1.8625000000000016,0.36895833333333344
train,11/5/2017 12:00,662.13,2.65,18.38,2.4700000000000015,0.5427083333333333,2.14,2.37,2.0900000000000016,0.37666666666666676
train,11/5/2017 12:30,520.18,2.12,16.73,2.390000000000002,0.525,2.65,2.97,2.3425000000000016,0.4097916666666668
train,11/5/2017 13:00,549.14,2.26,16.68,2.4200000000000017,0.5329166666666667,2.65,1.88,2.4700000000000015,0.4208333333333334
train,11/5/2017 13:30,569.91,2.41,17.47,2.3600000000000017,0.5597916666666667,2.12,1.12,2.390000000000002,0.40020833333333344
train,11/5/2017 14:00,427.88,1.77,18.26,2.1400000000000015,0.55875,2.26,1.82,2.4200000000000017,0.4004166666666668
train,11/5/2017 14:30,286.92,1.07,10.79,1.8775000000000015,0.5583333333333333,2.41,1.09,2.3600000000000017,0.3941666666666668
train,11/5/2017 15:00,233.3,0.77,11.45,1.5050000000000017,0.560625,1.77,0.66,2.1400000000000015,0.38666666666666677
train,11/5/2017 15:30,200.77,0.61,11.15,1.0550000000000017,0.5560416666666667,1.07,0.83,1.8775000000000015,0.3931250000000001
train,11/5/2017 16:00,83.65,0.17,9.21,0.6550000000000017,0.5547916666666667,0.77,0.23,1.5050000000000017,0.3937500000000001
train,11/5/2017 16:30,3.93,0.01,6.61,0.3900000000000016,0.5545833333333334,0.61,0.02,1.0550000000000017,0.3937500000000001
train,11/5/2017 17:00,0.0,0.0,5.93,0.19750000000000162,0.5545833333333334,0.17,0.0,0.6550000000000017,0.3937500000000001
train,11/5/2017 17:30,0.0,0.0,6.03,0.04500000000000162,0.5545833333333334,0.01,0.0,0.3900000000000016,0.3937500000000001
train,11/5/2017 18:00,0.0,0.0,5.45,0.002500000000001619,0.5545833333333334,0.0,0.0,0.19750000000000162,0.3937500000000001
train,11/5/2017 18:30,0.0,0.0,5.31,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,0.04500000000000162,0.3937500000000001
train,11/5/2017 19:00,0.0,0.0,4.89,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,0.002500000000001619,0.3937500000000001
train,11/5/2017 19:30,0.0,0.0,3.87,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,1.6189306839553552e-15,0.3937500000000001
train,11/5/2017 20:00,0.0,0.0,2.69,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,1.6189306839553552e-15,0.3937500000000001
train,11/5/2017 20:30,0.0,0.0,2.52,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,1.6189306839553552e-15,0.3937500000000001
train,11/5/2017 21:00,0.0,0.0,2.11,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,1.6189306839553552e-15,0.3937500000000001
train,11/5/2017 21:30,0.0,0.0,1.43,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,1.6189306839553552e-15,0.3937500000000001
train,11/5/2017 22:00,0.0,0.0,1.13,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,1.6189306839553552e-15,0.3937500000000001
train,11/5/2017 22:30,0.0,0.0,0.75,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,1.6189306839553552e-15,0.3937500000000001
train,11/5/2017 23:00,0.0,0.0,0.32,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,1.6189306839553552e-15,0.3937500000000001
train,11/5/2017 23:30,0.0,0.0,1.71,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,1.6189306839553552e-15,0.3937500000000001
train,11/6/2017 0:00,0.0,0.0,1.61,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,1.6189306839553552e-15,0.3937500000000001
train,11/6/2017 0:30,0.0,0.0,2.98,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,1.6189306839553552e-15,0.3937500000000001
train,11/6/2017 1:00,0.0,0.0,2.76,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,1.6189306839553552e-15,0.3937500000000001
train,11/6/2017 1:30,0.0,0.0,3.98,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,1.6189306839553552e-15,0.3937500000000001
train,11/6/2017 2:00,0.0,0.0,2.13,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,1.6189306839553552e-15,0.3937500000000001
train,11/6/2017 2:30,0.0,0.0,1.32,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,1.6189306839553552e-15,0.3937500000000001
train,11/6/2017 3:00,0.0,0.0,0.67,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,1.6189306839553552e-15,0.3937500000000001
train,11/6/2017 3:30,0.0,0.0,1.02,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,1.6189306839553552e-15,0.3937500000000001
train,11/6/2017 4:00,0.0,0.0,0.24,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,1.6189306839553552e-15,0.3937500000000001
train,11/6/2017 4:30,0.0,0.0,0.42,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,1.6189306839553552e-15,0.3937500000000001
train,11/6/2017 5:00,0.0,0.0,0.86,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,1.6189306839553552e-15,0.3937500000000001
train,11/6/2017 5:30,0.0,0.0,0.58,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,1.6189306839553552e-15,0.3937500000000001
train,11/6/2017 6:00,0.0,0.0,-0.11,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,1.6189306839553552e-15,0.3937500000000001
train,11/6/2017 6:30,0.0,0.0,0.08,1.6189306839553552e-15,0.5545833333333334,0.0,0.0,1.6189306839553552e-15,0.3937500000000001
train,11/6/2017 7:00,4.51,0.01,-0.24,0.002500000000001619,0.5547916666666668,0.0,0.0,1.6189306839553552e-15,0.3937500000000001
train,11/6/2017 7:30,34.25,0.1,0.83,0.02750000000000162,0.5568750000000001,0.0,0.0,1.6189306839553552e-15,0.39354166666666673
train,11/6/2017 8:00,185.95,0.36,1.68,0.11750000000000162,0.5616666666666669,0.01,0.13,0.002500000000001619,0.3941666666666667
train,11/6/2017 8:30,294.49,0.75,5.9,0.3050000000000016,0.5687500000000002,0.1,0.41,0.02750000000000162,0.39729166666666665
train,11/6/2017 9:00,398.62,1.25,12.25,0.6150000000000017,0.5691666666666668,0.36,1.23,0.11750000000000162,0.4114583333333333
train,11/6/2017 9:30,491.36,1.78,15.7,1.0350000000000017,0.5720833333333335,0.75,1.64,0.3050000000000016,0.4239583333333334
train,11/6/2017 10:00,543.04,2.08,22.75,1.4650000000000016,0.5708333333333334,1.25,2.14,0.6150000000000017,0.44500000000000006
train,11/6/2017 10:30,394.77,1.56,24.95,1.6675000000000018,0.5525000000000001,1.78,2.44,1.0350000000000017,0.4833333333333334
train,11/6/2017 11:00,311.51,1.24,20.95,1.6650000000000018,0.5337500000000001,2.08,2.14,1.4650000000000016,0.509375
train,11/6/2017 11:30,110.8,0.48,14.98,1.3400000000000019,0.4885416666666667,1.56,2.65,1.6675000000000018,0.5368750000000001
train,11/6/2017 12:00,92.14,0.41,12.87,0.9225000000000019,0.4418750000000001,1.24,2.65,1.6650000000000018,0.5427083333333333
train,11/6/2017 12:30,156.46,0.71,11.45,0.7100000000000019,0.4125000000000001,0.48,2.12,1.3400000000000019,0.525
train,11/6/2017 13:00,306.21,1.31,16.43,0.7275000000000018,0.3927083333333334,0.41,2.26,0.9225000000000019,0.5329166666666667
train,11/6/2017 13:30,316.27,1.37,17.48,0.9500000000000018,0.3710416666666667,0.71,2.41,0.7100000000000019,0.5597916666666667
train,11/6/2017 14:00,109.76,0.48,14.77,0.9675000000000018,0.34416666666666673,1.31,1.77,0.7275000000000018,0.55875
train,11/6/2017 14:30,58.64,0.25,11.81,0.8525000000000018,0.3270833333333334,1.37,1.07,0.9500000000000018,0.5583333333333333
train,11/6/2017 15:00,56.67,0.24,11.57,0.5850000000000019,0.3160416666666667,0.48,0.77,0.9675000000000018,0.560625
train,11/6/2017 15:30,22.49,0.08,11.06,0.26250000000000184,0.3050000000000001,0.25,0.61,0.8525000000000018,0.5560416666666667
train,11/6/2017 16:00,6.57,0.01,10.14,0.14500000000000185,0.30166666666666675,0.24,0.17,0.5850000000000019,0.5547916666666667
train,11/6/2017 16:30,1.07,0.0,9.87,0.08250000000000185,0.30145833333333344,0.08,0.01,0.26250000000000184,0.5545833333333334
train,11/6/2017 17:00,0.0,0.0,9.92,0.022500000000001852,0.30145833333333344,0.01,0.0,0.14500000000000185,0.5545833333333334
train,11/6/2017 17:30,0.0,0.0,10.12,0.0025000000000018514,0.30145833333333344,0.0,0.0,0.08250000000000185,0.5545833333333334
train,11/6/2017 18:00,0.0,0.0,10.09,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,0.022500000000001852,0.5545833333333334
train,11/6/2017 18:30,0.0,0.0,9.67,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,0.0025000000000018514,0.5545833333333334
train,11/6/2017 19:00,0.0,0.0,9.75,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,1.8513836297362474e-15,0.5545833333333334
train,11/6/2017 19:30,0.0,0.0,9.84,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,1.8513836297362474e-15,0.5545833333333334
train,11/6/2017 20:00,0.0,0.0,9.73,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,1.8513836297362474e-15,0.5545833333333334
train,11/6/2017 20:30,0.0,0.0,10.0,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,1.8513836297362474e-15,0.5545833333333334
train,11/6/2017 21:00,0.0,0.0,9.98,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,1.8513836297362474e-15,0.5545833333333334
train,11/6/2017 21:30,0.0,0.0,10.42,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,1.8513836297362474e-15,0.5545833333333334
train,11/6/2017 22:00,0.0,0.0,9.98,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,1.8513836297362474e-15,0.5545833333333334
train,11/6/2017 22:30,0.0,0.0,10.11,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,1.8513836297362474e-15,0.5545833333333334
train,11/6/2017 23:00,0.0,0.0,10.1,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,1.8513836297362474e-15,0.5545833333333334
train,11/6/2017 23:30,0.0,0.0,9.88,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,1.8513836297362474e-15,0.5545833333333334
train,11/7/2017 0:00,0.0,0.0,9.99,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,1.8513836297362474e-15,0.5545833333333334
train,11/7/2017 0:30,0.0,0.0,10.33,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,1.8513836297362474e-15,0.5545833333333334
train,11/7/2017 1:00,0.0,0.0,10.24,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,1.8513836297362474e-15,0.5545833333333334
train,11/7/2017 1:30,0.0,0.0,9.98,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,1.8513836297362474e-15,0.5545833333333334
train,11/7/2017 2:00,0.0,0.0,9.9,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,1.8513836297362474e-15,0.5545833333333334
train,11/7/2017 2:30,0.0,0.0,10.18,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,1.8513836297362474e-15,0.5545833333333334
train,11/7/2017 3:00,0.0,0.0,10.59,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,1.8513836297362474e-15,0.5545833333333334
train,11/7/2017 3:30,0.0,0.0,10.3,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,1.8513836297362474e-15,0.5545833333333334
train,11/7/2017 4:00,0.0,0.0,9.86,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,1.8513836297362474e-15,0.5545833333333334
train,11/7/2017 4:30,0.0,0.0,9.76,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,1.8513836297362474e-15,0.5545833333333334
train,11/7/2017 5:00,0.0,0.0,10.27,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,1.8513836297362474e-15,0.5545833333333334
train,11/7/2017 5:30,0.0,0.0,10.55,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,1.8513836297362474e-15,0.5545833333333334
train,11/7/2017 6:00,0.0,0.0,10.18,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,1.8513836297362474e-15,0.5545833333333334
train,11/7/2017 6:30,0.0,0.0,10.16,1.8513836297362474e-15,0.30145833333333344,0.0,0.0,1.8513836297362474e-15,0.5545833333333334
train,11/7/2017 7:00,1.37,0.0,10.67,1.8513836297362474e-15,0.3012500000000001,0.0,0.01,1.8513836297362474e-15,0.5547916666666668
train,11/7/2017 7:30,5.62,0.01,11.23,0.0025000000000018514,0.2993750000000001,0.0,0.1,1.8513836297362474e-15,0.5568750000000001
train,11/7/2017 8:00,11.64,0.04,11.45,0.012500000000001852,0.2927083333333334,0.0,0.36,1.8513836297362474e-15,0.5616666666666669
train,11/7/2017 8:30,27.96,0.11,10.59,0.040000000000001854,0.2793750000000001,0.01,0.75,0.0025000000000018514,0.5687500000000002
train,11/7/2017 9:00,22.58,0.09,10.79,0.06250000000000186,0.2552083333333334,0.04,1.25,0.012500000000001852,0.5691666666666668
